"","Domain","Phylum","Class","Order","Family","Genus","Species"
"00e4d986c156fa6528632ce7025b186a","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Ruthenibacterium",NA
"ce7260fe3f31c7fa47ae17dc33d2b8f7","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Ruthenibacterium",NA
"bc24fc0be5e06df0aa789f0e0ceb1f9a","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Ruthenibacterium",NA
"0528577799103365792e3f3f41660467","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae",NA,NA
"0b297e9260e537dfc637031ea1b5fc43","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Incertae_Sedis",NA
"cac103d67380fb39b7c0637331d33b58","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Incertae_Sedis",NA
"53725a713292ed50885510af46e141da","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae",NA,NA
"427a0cb25c915384a0080822dcb19d49","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae",NA,NA
"94cbb40634b76e5b3b33df865a98d338","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Incertae_Sedis",NA
"8d0a937eb906e8b088dfee14ff989d16","d__Bacteria",NA,NA,NA,NA,NA,NA
"fcfbc456336f9b946cfdc29011320703","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Incertae_Sedis",NA
"a3035ae94482118c8c735d300c88cc03","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Incertae_Sedis",NA
"25819d800739d8184033dd6b57af16a4","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae",NA,NA
"524787ca90f7843f7b2ed4e7b90ad541","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Incertae_Sedis",NA
"701f0eec5e7ea9752b2affb590cc1e95","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Incertae_Sedis",NA
"5b9037101b2c5f055cc82b7013c37f39","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae",NA,NA
"e9971c3f9e69cf833094322fe35897c3","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Ruthenibacterium",NA
"6aa529509427c23c72b04d9af1ccfccb","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Lachnospirales"," f__Lachnospiraceae",NA,NA
"380f23aca864d99b4b8d253d8423dddc","d__Bacteria"," p__Bacillota"," c__Clostridia",NA,NA,NA,NA
"6bc765ac6862819b13fa3fea70d81a0e","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Incertae_Sedis",NA
"ab7b50d82acea7eed608fa076f1d0eb1","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Negativibacillus",NA
"a433a22b74f28a4ff22369bc6078fcd4","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Gemmiger",NA
"2159e20e08f8dddc536b32de72877098","d__Bacteria"," p__Bacillota"," c__Clostridia",NA,NA,NA,NA
"aa498219da7c350e2be6c191368bd982","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Ruminococcus",NA
"46c54c5d069e25dd69e8603fb81ff25b","d__Bacteria"," p__Actinomycetota"," c__Actinobacteria"," o__Actinomycetales"," f__Actinomycetaceae"," g__Varibaculum",NA
"5ec5b883bc6a61e7e18200f2365440d8","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Peptostreptococcales-Tissierellales"," f__Family_XI"," g__Finegoldia",NA
"a97b365a85143d1ad495826b95a413bc","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Incertae_Sedis",NA
"844811dfcca7618291f99f141c597274","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Subdoligranulum",NA
"053a14b3553bf649601db59042350db0","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae",NA,NA
"ae47f746571a5622a17450a4963a54fa","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Gemmiger",NA
"684e994b12b8c4bb9a5ed7edf3dda5b9","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Ruthenibacterium",NA
"4ac555d80ba325db02ba145b0cc4c737","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Incertae_Sedis",NA
"a4491c93204516e5a2edd2b6d1962f3f","d__Bacteria"," p__Actinomycetota"," c__Actinobacteria"," o__Actinomycetales"," f__Actinomycetaceae"," g__Schaalia",NA
"e4e8de50d80ae2476878db9184e00f0c","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Incertae_Sedis",NA
"49b3f5a7935ee36e150ce90d046e46eb","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Incertae_Sedis",NA
"1322e535d7ad877467d0f8c04f2e141a","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Incertae_Sedis",NA
"f76cc453beacb98552ceb7c7822e33e6","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Incertae_Sedis",NA
"8b6d34c9746d9d8d1f6241f39131ffc4","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Incertae_Sedis",NA
"3b5fc3c298dac3509fe851dfdbb1a25f","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Incertae_Sedis",NA
"c299a19e52bbc1668c200f07b942d1e3","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"14dabcafd2dd88711c729b9deae462f8","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__[Eubacterium]_coprostanoligenes_group"," g__Incertae_Sedis",NA
"4cec990027e60680f81dd1efb0e5496f","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Acutalibacter",NA
"97add8f96c738716df95de329ecb9fa3","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Clostridia_UCG-014"," f__Incertae_Sedis"," g__Incertae_Sedis",NA
"5b26dd5a9703a37638505df95c8adeaa","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Peptostreptococcales-Tissierellales"," f__Family_XI"," g__Peptoniphilus",NA
"b2850ef2223c33064b2ee33701001d6e","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Incertae_Sedis",NA
"d6d69f9b0d0c0f8a50301e15dc1355c1","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"1b1801c388402c0807786e7d7ed88d21","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Incertae_Sedis"," f__Incertae_Sedis"," g__Incertae_Sedis",NA
"45c5a7575251c4aae8a6b59798daa2b1","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"90aa26e0de0abc69e089e917a50dab86","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Lachnospirales"," f__Lachnospiraceae"," g__Lachnospiraceae_NC2004_group",NA
"1c69c7f861de1932aca1386350ab9332","d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Bacteroidales"," f__Bacteroidaceae"," g__Bacteroides",NA
"6cbdde1e872f3f99098fb6b3e0bd3179","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"58e816a9233e21e3d5599c0cd1e6dde8","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"e036826e096945527b7bbf061998a7e3","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"2fcd0ed30cc5ce4c8457da8113e5ecb0","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Anaerofilum",NA
"66d8054df92f18515e56e3b15ad09860","d__Bacteria"," p__Bacillota"," c__Clostridia",NA,NA,NA,NA
"59149ccbbad4a651bd6df72904ca3778","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Lachnospirales"," f__Lachnospiraceae"," g__Lachnospiraceae_NC2004_group",NA
"17f7f7550c4682c37aabab3b3623066d","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"2cd2bd319f9e41f040ff5416a4b9d529","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"cb8e7c926e4304c57ddd67360b800867","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"865871e44727e1a03c23ed632ef33b1c","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"a7a505b01d7d8aaa5ffd32a7ec2ca699","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"2c9c5cc8f9c6b750a10da4f02a91cbe9","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"27d1e3b5dbca10ed41ddc5ff73346e5d","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"ad88e536d432a16f2c5c3a841d2e86c7","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"37e60dc93d6d0926d1ad0c07ff58f9e7","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"7f7ad2aa1b8e47800d098beabb1ab112","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"0a8c94093757fa4b7047b19e6fb2c48b","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"f9474bf29cb89053c182cd8dcedd97d5","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"d1b446263dd4e878070fbb3dcd4a038f","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"4b148b13cc0c0fb60da16bb4f633647e","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"14afaa11a587a547e028d001a3b5f519","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"727c12463e8ed24dc5aa9234fa87ec5a","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"0cadf550a2fc293a9056a0ff243514e3","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"c8312729d575f8fb50e316e39aca2204","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"7383ac7050729c1baa548bdc34970fa6","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"c950cc0c971dc1e669daaeed9eb0d828","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"d696ef8102ae935775c3cf2c934697a3","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"5b0b2726bf95bd0e5f7f849a5ac7a555","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae",NA,NA
"4701800006370e14fa851fd65b79c72c","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"9a5ad3e5c9abb12041ebce1cf20b2b3c","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"b3cb877c7b1e20550e8316dde052e7e7","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"d8af26a1eb6faf9b04bd6a384e2b5ba1","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"6fc5576adbeae347cae9b6fe4732e59f","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"1dce6868b7394c1e6a3a32ab78e269b4","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"1d141d5fd049b246011c2ef63e37c4cd","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Incertae_Sedis",NA
"0d9201130e606cacf76de77d82e6d628","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"3a2871b2586e679726594e22479efb17","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"a67621ea6a721b7b18c8b7d33c3f2643","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"16e3b6145de1c69fdcc05c87b5916e43","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"212f4b48f5be77b663d913444485a150","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"5f4416a25257ea3f868eb53c1abd9186","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"7edbfe3deef75f166ff693879eb0c11e","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"908a944f5e3438de151c1c687843d1cc","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"3dccad08a519be3a33f9d9a2e35a50ce","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"941533f9078ead7973b1acfd7a89b39a","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"4cb4e20527a25ae70c8e01db6857c893","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"b9557da632d80b32035835dcbd227d2e","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"20a3981be1add8c5ab6e4cf36346279a","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"4ff949b5a9d9cd7e525f010740498ead","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"cf592ecce2372019d90f26d8eede6044","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"c56b9fa4f81bb55b441387f1353c6d0e","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"9305f5ab47c6e257ea798d82c76d1fbd","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"2480577a988d25711706a5781ac8121a","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"f9a5a0af8461a2a68ea11234ecb8af7d","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"4e845d4c136d5ce26449a6aca1ce4ee5","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"aea3b27aba6b1a10ad10e3efe1209584","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"b9a8aaf2d8ecc121e8a176986271c7d2","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"887eeda20266c97f2570266b13683c1a","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"3af13fe2ebf0289dddda56e082b89528","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
